Loaded plugins: langpacks, presto, refresh-packagekit
Installed Packages
GConf2.x86_64                              3.2.6-2.fc18                 @updates
LibRaw.x86_64                              0.14.7-4.fc18                @updates
ModemManager.x86_64                        0.6.0.0-3.fc18               @updates
NetworkManager.x86_64                      1:0.9.8.1-1.git20130327.fc18 @updates
NetworkManager-glib.x86_64                 1:0.9.8.1-1.git20130327.fc18 @updates
NetworkManager-openconnect.x86_64          0.9.7.0-1.git20120918.fc18   @koji-override-0/$releasever
NetworkManager-openvpn.x86_64              1:0.9.3.997-3.fc18           @koji-override-0/$releasever
NetworkManager-pptp.x86_64                 1:0.9.3.997-3.fc18           @koji-override-0/$releasever
NetworkManager-vpnc.x86_64                 1:0.9.3.997-3.fc18           @koji-override-0/$releasever
ORBit2.x86_64                              2.14.19-6.fc18               @fedora 
OpenEXR-libs.x86_64                        1.7.1-1.fc18                 @koji-override-0/$releasever
PackageKit.x86_64                          0.8.7-1.fc18                 @updates
PackageKit-command-not-found.x86_64        0.8.7-1.fc18                 @updates
PackageKit-device-rebind.x86_64            0.8.7-1.fc18                 @updates
PackageKit-glib.x86_64                     0.8.7-1.fc18                 @updates
PackageKit-gstreamer-plugin.x86_64         0.8.7-1.fc18                 @updates
PackageKit-gtk3-module.x86_64              0.8.7-1.fc18                 @updates
PackageKit-yum.x86_64                      0.8.7-1.fc18                 @updates
PackageKit-yum-plugin.x86_64               0.8.7-1.fc18                 @updates
SDL.x86_64                                 1.2.15-3.fc18                @updates
a52dec.x86_64                              0.7.4-16.fc17                @rpmfusion-free
aalib-libs.x86_64                          1.4.0-0.21.rc5.fc18          @fedora 
abattis-cantarell-fonts.noarch             0.0.10.1-1.fc18              @koji-override-0/$releasever
abrt.x86_64                                2.1.2-2.fc18                 @updates
abrt-addon-ccpp.x86_64                     2.1.2-2.fc18                 @updates
abrt-addon-kerneloops.x86_64               2.1.2-2.fc18                 @updates
abrt-addon-python.x86_64                   2.1.2-2.fc18                 @updates
abrt-addon-vmcore.x86_64                   2.1.2-2.fc18                 @updates
abrt-addon-xorg.x86_64                     2.1.2-2.fc18                 @updates
abrt-dbus.x86_64                           2.1.2-2.fc18                 @updates
abrt-desktop.x86_64                        2.1.2-2.fc18                 @updates
abrt-gui.x86_64                            2.1.2-2.fc18                 @updates
abrt-libs.x86_64                           2.1.2-2.fc18                 @updates
abrt-plugin-bodhi.x86_64                   2.1.2-2.fc18                 @updates
abrt-retrace-client.x86_64                 2.1.2-2.fc18                 @updates
accountsservice.x86_64                     0.6.25-2.fc18                @koji-override-0/$releasever
accountsservice-libs.x86_64                0.6.25-2.fc18                @koji-override-0/$releasever
acl.x86_64                                 2.2.51-7.fc18                @koji-override-0/$releasever
adwaita-cursor-theme.noarch                3.6.5-1.fc18                 @updates
adwaita-gtk2-theme.x86_64                  3.6.5-1.fc18                 @updates
adwaita-gtk3-theme.x86_64                  3.6.5-1.fc18                 @updates
aic94xx-firmware.noarch                    30-4.fc18                    @koji-override-0/$releasever
aisleriot.x86_64                           1:3.2.3.2-3.fc18             @koji-override-0/$releasever
alsa-firmware.noarch                       1.0.25-2.fc18                @koji-override-0/$releasever
alsa-lib.x86_64                            1.0.26-2.fc18                @koji-override-0/$releasever
alsa-plugins-pulseaudio.x86_64             1.0.26-2.fc18                @koji-override-0/$releasever
alsa-tools-firmware.x86_64                 1.0.26.1-1.fc18              @koji-override-0/$releasever
alsa-utils.x86_64                          1.0.26-1.fc18                @koji-override-0/$releasever
anaconda.x86_64                            18.37.11-1.fc18              @koji-override-0/$releasever
anaconda-widgets.x86_64                    18.37.11-1.fc18              @koji-override-0/$releasever
anaconda-yum-plugins.noarch                1:1.0-8.fc18                 @koji-override-0/$releasever
anthy.x86_64                               9100h-18.fc18                @koji-override-0/$releasever
argyllcms.x86_64                           1.4.0-6.fc18                 @koji-override-0/$releasever
at.x86_64                                  3.1.13-10.fc18               @koji-override-0/$releasever
at-spi2-atk.x86_64                         2.6.2-1.fc18                 @koji-override-0/$releasever
at-spi2-core.x86_64                        2.6.3-1.fc18                 @updates
atk.x86_64                                 2.6.0-1.fc18                 @koji-override-0/$releasever
atkmm.x86_64                               2.22.6-2.fc18                @koji-override-0/$releasever
atlas.x86_64                               3.8.4-7.fc18                 @fedora 
atmel-firmware.noarch                      1.3-10.fc18                  @koji-override-0/$releasever
attr.x86_64                                2.4.46-7.fc18                @koji-override-0/$releasever
